country,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021
Afghanistan,10.883377303990269,10.695072531083063,11.882053525670054,13.894023875146846,13.579106786136633,13.882423645889315,12.558968384621977,14.22511222191373,14.591065330521614,13.834150630131209,14.786936641140132,15.08614680084388,15.259174513526457,18.31055487294912,16.339147540450604,14.968798588727756,15.492529782537686,16.09011681579324,16.201729988635623,15.247455470173469,14.035456202973265,16.557156084674094,16.572040822062988,16.899878382782507
Akrotiri and Dhekelia,11.74349331364345,11.671865206333578,13.734415866765115,12.669531544835506,10.958369021248666,11.431159652145377,10.628366149807203,11.735572647469029,11.597197883337435,11.987900566084173,11.742547788990073,12.079988514234147,10.380454097957175,15.606263844449915,17.158588891623594,11.959531544835508,11.128131922224956,11.771391008286159,10.76092542456313,11.228369021248666,9.973484699319057,9.738369021248667,10.711391008286158,11.148597505947986
Albania,16.862155365231843,15.431233725278483,17.33359460053974,16.419825808163818,18.073976777882535,20.114124024976686,15.78433489151051,17.397230959751923,19.62087505685811,18.145727446391156,15.384589512022773,14.593839494340791,11.79867111322502,20.507657708661963,17.5451938172118,14.531010714955453,12.872913422537032,16.26223897341993,13.64780007293411,15.04174302794661,14.433322187737856,13.647354195041649,13.087383034513278,13.53432027224409
Algeria,6.408836158973534,5.7220841588605635,6.122757850027417,6.1896405746474485,6.1785850937438465,7.644445520538568,5.518632088366284,7.087764282826607,7.071744056744419,6.917546003943763,5.860591266241207,6.6454813930191,5.517756498380622,7.027603876137544,6.854527697995786,6.587146333693143,5.356320453812939,7.022321771789307,5.607151137938488,6.61508301507805,6.053819969570583,6.090864711034383,5.83329119094733,6.1532491638626
American Samoa,0.7263100092678406,0.8219659406858203,1.114222891566265,1.013706672845227,1.1742272937905467,1.2101832715477292,0.9646865152919368,1.413728220574606,1.2195132066728454,1.2398670064874886,1.0213021316033364,1.2307708526413346,1.0176047265987025,0.9461466635773865,1.1122708526413345,1.0990984708063023,1.219069045412419,1.4851913809082484,1.2567782669138092,1.293216172381835,1.3873966635773864,1.3432233549582948,1.0747629749768306,1.0199770620945319
Andorra,8.663251591055058,8.387923629357156,8.964742920534828,9.537725579494367,9.675833596076371,10.470561452677059,9.4688023588486,9.973422315641969,9.178609680621241,9.304465230338062,8.530718631400712,8.863343142406727,9.483206282477958,8.989245285222164,7.901042330822678,7.581451742862149,6.763051205698603,7.458597302504817,6.887051088923921,6.864846266129503,7.226033981432825,6.03176166287149,6.67148887721142,7.554036667250542
Angola,18.418379709413497,15.910726599071102,17.45612125222057,21.95591954268479,19.685146553474546,18.29059274892975,19.118164519412097,21.10939920963419,17.302910845502126,21.085501601885888,22.427512940541057,20.204193533073713,23.960552058958207,21.759519607128755,21.792500683804743,21.82063042100715,19.12851070498414,20.55370969126605,20.367784024251318,18.414459355136835,19.018873447544877,20.56919400808768,17.52781911904891,16.89122344214264
Anguilla,2.673235117618819,3.579131661065771,2.9551530244839173,3.2141652664426306,2.312280364858377,2.6058365338454155,2.458362337974076,3.393839414306289,3.050600096015362,2.6067210753720595,2.3935567690830535,2.5503918626980315,4.125255040806529,2.414275084013442,3.0476482237157945,2.0248079692750838,2.030532885261642,2.284357297167546,2.572109937590014,2.4053252520403268,2.0763160105616896,2.013984637542007,2.061469635141622,2.209470115218435
Antigua and Barbuda,2.7563647206662263,3.3320474537283555,3.1056796447360018,3.13446625205001,2.4995303614406508,2.868240932035526,2.849403420587421,3.4406467380886454,3.2058994483610572,2.6491040659410876,2.68419927158101,3.044100871120956,4.134132925816276,2.8700171455347068,3.047042022534131,2.2312569487337863,2.2889753146897833,2.5321244488935273,2.828232306021171,2.527225511703691,2.4986250559093524,2.4082730932248513,2.1031143106643095,2.4334410342697703
Argentina,11.426432543365117,12.48383521315936,11.859123627449154,11.779595848027903,11.925939995495607,12.047475309039477,11.593857496711326,10.80773907262933,11.97832143897318,12.377661125088814,12.372574907621303,10.843927120389822,10.231334901044498,11.201180802925697,11.091480371085993,10.995329250398058,11.2988766164025,11.049635138870682,11.184195436313042,10.866720782556785,10.546537679820164,10.760637095676689,12.197135134675738,11.148104261073378
