Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s)
21-02-2017 23:00,136.25,186,NA,NA,NA,NA,NA,NA,NA
22-02-2017 00:00,120.75,161.75,NA,NA,NA,NA,NA,NA,NA
22-02-2017 01:00,121.75,155,NA,NA,NA,NA,NA,NA,NA
22-02-2017 02:00,120,146.75,NA,NA,NA,NA,NA,NA,NA
22-02-2017 03:00,107.75,127.5,NA,NA,NA,NA,NA,NA,NA
22-02-2017 04:00,110,132.5,NA,NA,NA,NA,NA,NA,NA
22-02-2017 05:00,669,636.5,NA,NA,NA,NA,NA,NA,NA
22-02-2017 06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-02-2017 07:00,326,343.5,NA,NA,NA,NA,NA,NA,NA
22-02-2017 08:00,343.75,371.75,NA,NA,NA,NA,NA,NA,NA
22-02-2017 09:00,351.25,380.25,NA,NA,NA,NA,NA,NA,NA
22-02-2017 10:00,304.75,326,NA,NA,NA,NA,NA,NA,NA
22-02-2017 11:00,71.5,NA,21.43,32.97,34.47,52.13,NA,NA,NA
22-02-2017 12:00,3.75,20.75,14.75,34.7,28.5,44.25,NA,NA,NA
22-02-2017 13:00,14.5,65.25,NA,NA,NA,NA,NA,NA,NA
22-02-2017 14:00,17.75,71,NA,NA,NA,NA,NA,NA,NA
22-02-2017 15:00,22.25,72,NA,NA,NA,NA,NA,NA,NA
22-02-2017 16:00,20.25,77,11.08,36.03,28.15,44.95,NA,NA,NA
22-02-2017 17:00,39.75,93.5,16.7,28.6,28.23,44.42,NA,NA,NA
22-02-2017 18:00,45,93,10.58,38.15,28.02,45.35,NA,NA,NA
22-02-2017 19:00,51,107.25,15.9,41.95,35.2,56.65,NA,NA,NA
22-02-2017 20:00,51.75,107,16.8,52.65,41.7,65.52,NA,NA,NA
22-02-2017 21:00,61,119,20.77,56.1,46.7,72.8,NA,NA,NA
22-02-2017 22:00,55,110,20.8,46.68,41.6,65.25,NA,NA,NA
22-02-2017 23:00,43.5,88,21.52,51,44.53,69.93,NA,NA,NA
23-02-2017 00:00,61,103.75,32.88,62.6,59.88,91.1,NA,NA,NA
23-02-2017 01:00,66,105.5,16.5,52.43,40.78,67.3,NA,NA,NA
23-02-2017 02:00,69.5,100.25,15.38,50.77,38.65,63,NA,NA,NA
23-02-2017 03:00,67.25,97.5,12,49.45,34.55,57.85,NA,NA,NA
23-02-2017 04:00,70.75,99.5,13.53,52.7,37.98,60.7,NA,NA,NA
23-02-2017 05:00,76.5,102.25,18.32,42.35,36.53,57.57,NA,NA,NA
23-02-2017 06:00,64.75,89.75,6.6,36.95,25.03,43.15,NA,NA,NA
23-02-2017 07:00,79,113,39.87,60.57,64.45,97.1,NA,NA,NA
23-02-2017 08:00,115.25,174,23.08,50.45,45.38,74.38,NA,NA,NA
23-02-2017 09:00,133,198.5,18.73,45.72,39.45,63.35,NA,NA,NA
23-02-2017 10:00,133.5,189.75,10.72,36.17,27.97,47.88,NA,NA,NA
23-02-2017 11:00,106,158,7.38,28.53,21.17,36.2,NA,NA,NA
23-02-2017 12:00,57.75,148.5,13.68,21.03,21.88,33.15,NA,NA,NA
23-02-2017 13:00,43.75,164.5,12.15,25.15,22.65,35.8,NA,NA,NA
23-02-2017 14:00,25.5,129.25,10.03,19.8,18.65,30.42,NA,NA,NA
23-02-2017 15:00,32,100.5,13.78,26.9,25,38.27,NA,NA,NA
23-02-2017 16:00,34.25,87.5,15.35,26.72,26.48,41.07,NA,NA,NA
23-02-2017 17:00,32.75,79.5,12.08,34.32,28,45.05,NA,NA,NA
23-02-2017 18:00,34.75,74.5,19.77,43.82,39.3,62.28,NA,NA,NA
23-02-2017 19:00,49.25,92,26.92,59.25,53.02,83.27,NA,NA,NA
23-02-2017 20:00,65.75,115,35.4,60.83,60.75,91.52,NA,NA,NA
23-02-2017 21:00,67.5,110,13.15,48.42,36.45,60.38,NA,NA,NA
23-02-2017 22:00,64.5,97,11.2,39,29.72,50.27,NA,NA,NA
23-02-2017 23:00,65.25,94.5,9.18,38.05,27.6,47.27,NA,NA,NA
24-02-2017 00:00,63.25,90.5,6.82,44.17,29.03,50.3,NA,NA,NA
24-02-2017 01:00,63.75,94.5,5.38,31.9,21.23,37.55,NA,NA,NA
24-02-2017 02:00,63.25,89.75,5.48,39.05,25.25,43.33,NA,NA,NA
24-02-2017 03:00,58,82.25,8.55,33.47,23.95,39.35,NA,NA,NA
24-02-2017 04:00,66,88.75,15.45,38.68,32.17,51.3,NA,NA,NA
24-02-2017 05:00,70,95.5,18.45,38.6,35.23,55.47,NA,NA,NA
24-02-2017 06:00,85,113,25.05,47.35,44.73,68.43,NA,NA,NA
24-02-2017 07:00,88.25,126,20.75,47.07,41.8,64.95,NA,NA,NA
24-02-2017 08:00,81.5,128.5,15.47,35,30.88,49.05,NA,NA,NA
24-02-2017 09:00,86.25,129.75,14.93,27.3,26.6,41.85,NA,NA,NA
24-02-2017 10:00,78.5,130.75,12.93,25.45,23.2,36.75,NA,NA,NA
24-02-2017 11:00,86,146.5,9.85,19.08,17.98,29.22,NA,NA,NA
24-02-2017 12:00,73.5,139.5,10.2,20.58,19.05,30.53,NA,NA,NA
24-02-2017 13:00,40.25,127.5,8.23,13.15,13.12,21.4,NA,NA,NA
24-02-2017 14:00,39,108.5,7.55,18.48,15.92,25.95,NA,NA,NA
24-02-2017 15:00,42.75,95.5,7.68,17,15.28,24.88,NA,NA,NA
24-02-2017 16:00,43.5,96.5,6.73,20.3,16.15,26.95,NA,NA,NA
24-02-2017 17:00,47.25,80.25,10.82,26.25,22.6,35.6,NA,NA,NA
24-02-2017 18:00,42.25,70.25,15.13,35.6,30.45,47.37,NA,NA,NA
24-02-2017 19:00,46.5,82.25,22.05,48.75,43.4,66.82,NA,NA,NA
24-02-2017 20:00,60.5,97.25,11.45,48,34.6,57.02,NA,NA,NA
24-02-2017 21:00,65.75,103.5,13.15,42.03,33.03,54.2,NA,NA,NA
24-02-2017 22:00,69.5,104.5,9,37.27,27.1,45.08,NA,NA,NA
24-02-2017 23:00,61.25,90.5,8.43,40.38,28.17,46.82,NA,NA,NA
25-02-2017 00:00,58.75,85,9.52,28.68,22.95,37.62,NA,NA,NA
25-02-2017 01:00,61.75,84,8.65,32.07,23.92,39.72,NA,NA,NA
25-02-2017 02:00,58.5,84.75,9.95,24,19.9,32.2,NA,NA,NA
25-02-2017 03:00,58.25,79,7.8,24.6,19.1,31.82,NA,NA,NA
25-02-2017 04:00,61,84,9.47,27.35,21.48,35.35,NA,NA,NA
25-02-2017 05:00,54.75,77,11.45,40.25,30.6,48.67,NA,NA,NA
25-02-2017 06:00,67.75,88,18.55,40.67,36.62,56.6,NA,NA,NA
25-02-2017 07:00,83,111.5,27.8,40.12,43.38,64.02,NA,NA,NA
25-02-2017 08:00,118.75,165.5,19.85,36.95,35.65,54.78,NA,NA,NA
25-02-2017 09:00,121.25,180.5,22.05,36.88,36.9,57,NA,NA,NA
25-02-2017 10:00,87.75,150.75,15.62,34.45,31.02,49.1,NA,NA,NA
25-02-2017 11:00,65.5,120.25,12.45,36.47,29.53,48.43,NA,NA,NA
25-02-2017 12:00,50.75,97,12.83,23.47,22.8,35.73,NA,NA,NA
25-02-2017 13:00,37.25,93,10.65,18.65,18.18,28.52,NA,NA,NA
25-02-2017 14:00,34.5,90.75,10.35,20.55,19.3,29.95,NA,NA,NA
25-02-2017 15:00,33.25,81.25,9.83,22.15,19.78,31.68,NA,NA,NA
25-02-2017 16:00,35,76.5,13.07,27.3,25.07,39.85,NA,NA,NA
25-02-2017 17:00,36.75,72.5,13.65,32.22,27.97,44.62,NA,NA,NA
25-02-2017 18:00,40.75,75.5,25.3,60.95,52.62,80.38,NA,NA,NA
25-02-2017 19:00,60.5,106.25,27.57,63.27,55.23,86.1,NA,NA,NA
25-02-2017 20:00,80.5,125.25,14.92,61.82,45.05,74.72,NA,NA,NA
25-02-2017 21:00,90.5,132.5,10.6,62.57,41.9,71.1,NA,NA,NA
25-02-2017 22:00,97.5,138.5,10.08,51.8,35.7,60.05,NA,NA,NA
25-02-2017 23:00,90.75,127,18.6,58,45.8,73.78,NA,NA,NA
26-02-2017 00:00,106.5,139.75,44.07,62.92,69.3,104.15,NA,NA,NA
26-02-2017 01:00,124.25,156.25,40.92,61.98,66.2,100.95,NA,NA,NA
26-02-2017 02:00,119.25,152,26.62,53.62,49.92,79.8,NA,NA,NA
26-02-2017 03:00,130.75,163,28.45,48.18,47.95,74.75,NA,NA,NA
26-02-2017 04:00,167.25,201.25,29.22,46.03,47.5,72.85,NA,NA,NA
26-02-2017 05:00,155,186,19.02,43.42,38.12,62.38,NA,NA,NA
26-02-2017 06:00,144.75,174.25,21.12,39.33,37.35,59.77,NA,NA,NA
26-02-2017 07:00,149,182.75,14.35,36.77,31.23,50.5,NA,NA,NA
26-02-2017 08:00,186,226.25,16.13,37.9,32.4,52.35,NA,NA,NA
26-02-2017 09:00,172.5,216.5,13.38,37.48,30.78,51.43,NA,NA,NA
26-02-2017 10:00,143.5,194.25,10.7,35.33,27.5,45.3,NA,NA,NA
26-02-2017 11:00,99,145.25,9.12,31.93,24.3,39.52,NA,NA,NA
26-02-2017 12:00,80.75,117.75,8.55,30.53,23.07,37.28,NA,NA,NA
26-02-2017 13:00,74.75,107.5,8.4,22.5,18.67,30.7,NA,NA,NA
26-02-2017 14:00,53.75,82,8.95,21.08,18.47,29.98,NA,NA,NA
26-02-2017 15:00,35,57.75,12.1,23.35,22.05,34.75,NA,NA,NA
26-02-2017 16:00,44.75,66.25,13,26.38,24.32,38.53,NA,NA,NA
26-02-2017 17:00,41.25,63,18.5,31.97,31.05,47.43,NA,NA,NA
26-02-2017 18:00,47.25,75.5,18.65,46.75,39.65,62.5,NA,NA,NA
26-02-2017 19:00,58,91.25,27.85,53.38,50.15,75.7,NA,NA,NA
26-02-2017 20:00,69.75,105.5,38.5,68.12,66.68,100.17,NA,NA,NA
26-02-2017 21:00,85.25,126,56.52,66.23,80.55,118.08,NA,NA,NA
26-02-2017 22:00,86.25,126,52.5,66.72,77.87,117.35,NA,NA,NA
26-02-2017 23:00,79.25,116,24,55.15,48.15,79,NA,NA,NA
27-02-2017 00:00,72,102,25.03,56.05,49.65,78.55,NA,NA,NA
27-02-2017 01:00,70.25,99.5,28.98,54.47,52,81.45,NA,NA,NA
27-02-2017 02:00,83.5,110.25,15.55,54.62,40.95,67.22,NA,NA,NA
27-02-2017 03:00,101.5,126.25,20.45,49.3,41.5,65.27,NA,NA,NA
27-02-2017 04:00,110.5,136,24.68,45.88,43.58,66.6,NA,NA,NA
27-02-2017 05:00,145.75,173.75,38.7,36.55,49.25,70.55,NA,NA,NA
27-02-2017 06:00,167,194.75,36,37.72,48.68,72.23,NA,NA,NA
27-02-2017 07:00,142.75,170.75,24.07,35.38,37.62,58.3,NA,NA,NA
27-02-2017 08:00,108.75,141,27.15,44.73,45.25,69.88,NA,NA,NA
27-02-2017 09:00,97.25,144.5,20.25,44.22,39.93,65.4,NA,NA,NA
27-02-2017 10:00,92.5,140.75,21,47.43,42.2,66.75,NA,NA,NA
27-02-2017 11:00,90,127.67,18.75,39.1,35.52,56.07,NA,NA,NA
27-02-2017 12:00,NA,NA,21.98,39.02,38.47,59.9,NA,NA,NA
27-02-2017 13:00,NA,NA,12.18,28.75,25.05,39.5,NA,NA,NA
27-02-2017 14:00,9.5,23,12.43,25.18,22.75,35,NA,NA,NA
27-02-2017 15:00,34.75,76,12.62,27.4,24.28,37.22,NA,NA,NA
27-02-2017 16:00,36.25,80.25,15.85,28.55,27.42,42.73,NA,NA,NA
27-02-2017 17:00,41.5,89.75,18.4,37.62,33.97,53.05,NA,NA,NA
27-02-2017 18:00,48.5,109.5,33.53,60.45,57.9,87.05,NA,NA,NA
27-02-2017 19:00,64.75,155.25,121.13,85.98,144.23,195.05,NA,NA,NA
27-02-2017 20:00,117.75,257.25,158.88,72.67,167.25,221.27,NA,NA,NA
27-02-2017 21:00,134.25,254.75,210.65,67.88,206.15,264.48,NA,NA,NA
27-02-2017 22:00,128.75,253.5,262.78,76.12,253.9,324.53,NA,NA,NA
27-02-2017 23:00,127.5,260,276.15,73.85,262.48,341.65,NA,NA,NA
28-02-2017 00:00,125.5,251.5,289.47,71.8,271.9,354.88,NA,NA,NA
28-02-2017 01:00,136,248.75,258.55,75.88,250.5,334.38,NA,NA,NA
28-02-2017 02:00,136.5,246,264.17,68.5,250.98,330.85,NA,NA,NA
28-02-2017 03:00,137.75,251.5,276.4,56.15,252.8,326.62,NA,NA,NA
28-02-2017 04:00,146.25,253,228.12,63.4,219.13,294.23,NA,NA,NA
28-02-2017 05:00,133.75,211.75,290.22,58.93,266.5,343.57,NA,NA,NA
28-02-2017 06:00,146.5,250.75,336.3,61.43,305.85,390.27,NA,NA,NA
28-02-2017 07:00,164.25,269.25,285.95,68.3,268.65,355.88,NA,NA,NA
28-02-2017 08:00,175.75,292,168.08,97.58,188.52,270.07,NA,NA,NA
28-02-2017 09:00,136.5,240,61.55,101.53,103.87,167.95,NA,NA,NA
28-02-2017 10:00,89,153.25,51.18,98.15,93.8,147.55,NA,NA,NA
28-02-2017 11:00,101.25,186.75,32.95,101.47,80.8,133.87,NA,NA,NA
28-02-2017 12:00,86.25,161,34.23,57.02,57.23,86.9,NA,NA,NA
28-02-2017 13:00,56.5,111.75,25.95,58.22,50.88,81.92,NA,NA,NA
28-02-2017 14:00,77.75,147,15.1,74.07,51.65,86.88,NA,NA,NA
28-02-2017 15:00,91,185.25,16.67,66.85,49.08,80.77,NA,NA,NA
28-02-2017 16:00,88.75,190.75,22.5,76.05,58.72,95.4,NA,NA,NA
28-02-2017 17:00,91.75,189,63.57,101.38,105.62,159.35,NA,NA,NA
28-02-2017 18:00,86.25,199.5,126.6,101.62,156.75,221.03,NA,NA,NA
28-02-2017 19:00,102.25,235,174.95,95.6,192.78,258.3,NA,NA,NA
28-02-2017 20:00,148,328.75,203.23,87.9,210.83,280.65,NA,NA,NA
28-02-2017 21:00,180.75,384.75,247.35,98.65,253.35,335.65,NA,NA,NA
28-02-2017 22:00,226.5,435.25,241.62,92.35,245.4,326.1,NA,NA,NA
28-02-2017 23:00,253.5,486.75,297.6,88.38,288.52,375.7,NA,NA,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
